Fiyat,Marka,Model,Model Yılı,Bisiklet Sınıfı,Kullanıcı Sınıfı,Yaş Grubu,Cinsiyet,Vites Sayısı,Kadro Malzemesi,Ağırlık,Jant Çapı,Jant Malzemesi,Fren Tipi,Amortisör,Amortisör Konumu,Amortisör Türü,Elektrik Motoru,Akü Gerilimi,Akü Kapasitesi,Motor Gücü,Azami Sürüş Menzili,Şarj Süresi
----,Kron,XC100 24 V,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1701,Kron,XC100 26 Erkek V,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC100 26 HD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC100 26 Lady HD,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC100 26 Lady MD,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1826,Kron,XC100 26 Lady V,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1881,Kron,XC100 26 MD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1953,Kron,XC100 27.5 HD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1881,Kron,XC100 27.5 MD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1720,Kron,XC100 27.5 V,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1953,Kron,XC100 29 HD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2241,Kron,XC100 29 MD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
5200,Kron,XC1000 27.5 Man HD,2017,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC1000 29,2017,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC100L 24 Lady HD,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC100L 24 Lady MD,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC150 20,2017,Dağ Bisikleti,Çocuk,----,Erkek,7,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC150 26 HD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
1899,Kron,XC150 26 V,2020,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2475,Kron,XC150 27.5 HD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC150 27.5 V,2020,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC150 29 HD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC150 29 V,2016,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC150 Lady 26 HD,2020,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC150 Lady 26 V,2018,Dağ Bisikleti,Yetişkin,----,Kadın,24,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC2000 27.5 HD,2019,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC250 26,2016,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,----,----,----,----,----,----,----
----,Kron,XC250 Lady 26,----,Dağ Bisikleti,Yetişkin,----,Kadın,21,Alüminyum / Alaşım,----,26 inç,----,V Frenli,Var,Sadece Ön,----,----,----,----,----,----,----
----,Kron,XC300 27.5 Man HD,2017,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC300 27.5 Man V,2017,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC300 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,----,----,----,----,----,----,----
----,Kron,XC450 27.5 HD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC450 29 HD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
981,Kron,XC50 16 Lady V,2018,Şehir/Tur Bisikleti,Çocuk,----,Kadın,1,Alüminyum / Alaşım,----,16 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
999,Kron,XC50 16 V,2018,Şehir/Tur Bisikleti,Çocuk,----,Erkek,1,Alüminyum / Alaşım,----,16 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
4999,Kron,XC500 27.5 HD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC500 29 HD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC75 20,2020,Dağ Bisikleti,Çocuk,----,Erkek,7,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC75 24 MD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC75 24 V,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC75 26 MD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC75 26 V,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC75 27.5 MD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC75 27.5 V,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC75L 20,2020,Dağ Bisikleti,Çocuk,----,Kadın,7,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kron,XC800 29,2017,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Kross,Hexagon Mini,2020,Şehir/Tur Bisikleti,Çocuk,----,Erkek,6,Çelik,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Kross,Trans 1.0,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,15.3 kg,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2384,Kross,Trans 2.0,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,15.9 kg,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2699,Kross,Trans 3.0,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,13.4 kg,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
3284,Kross,Trans 4.0,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,17.2 kg,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
3464,Kross,Trans 5.0,2020,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,17.1 kg,28 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
3999,Kross,Vento 1.0,2020,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,14,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
13000,Lapierre,Cyclo Cross CX 500,2017,Cycle Cross,Yetişkin,----,Erkek,22,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Salcano,Excel 20,2020,Şehir/Tur Bisikleti,Çocuk,----,Erkek,6,Çelik,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Look,695 Light Proteam Shimano Dura Ace Mavic Aksium 28,2016,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,22,Karbon,----,28 inç,----,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Look,795 Aerolight Black Shimano Ultegra Mavic Cosmic Pro Carbon 28,2016,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,22,Karbon,----,28 inç,Karbon,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Look,795 Light Black Shimano Ultegra DI2 Mavic Aksium 28,2016,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,22,Karbon,----,28 inç,----,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Look,795 Light Proteam Shimano Ultegra Mavic Aksium 28,2016,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,22,Karbon,----,28 inç,----,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Merida,BIG.NINE 100 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Merida,BIG.NINE 1000 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,20,Karbon,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
11000,Merida,BIG.NINE 20 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Merida,BIG.NINE 300 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.NINE 40 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Merida,BIG.NINE 500 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.NINE 600 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.NINE 6000 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,11,Karbon,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.NINE 70 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Merida,BIG.NINE 7000 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,22,Karbon,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.NINE 9000 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,22,Karbon,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.NINE Team Issue 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,11,Karbon,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,----,----,----,----,----,----,----
----,Merida,BIG.NINE XT Edition 29,2016,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,29 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.SEVEN 100 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Merida,BIG.SEVEN 1000 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,20,----,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.SEVEN 20 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Merida,BIG.SEVEN 300 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.SEVEN 40 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Merida,BIG.SEVEN 500 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.SEVEN 600 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
7475,Merida,BIG.SEVEN 6000 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,11,Alüminyum / Alaşım,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.SEVEN 70 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Merida,BIG.SEVEN 7000 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,22,Alüminyum / Alaşım,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.SEVEN 9000 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,22,Alüminyum / Alaşım,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,BIG.SEVEN Team Issue 27.5,2016,Dağ Bisikleti,Yetişkin,----,Erkek,11,Karbon,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Merida,JULIET 7.100 27.5,2016,Dağ Bisikleti,Yetişkin,----,Kadın,27,----,----,27.5 inç,----,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Merida,Reacto 300,2017,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,20,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
17541,Merida,Reacto 4000,2017,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,22,Karbon,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Merida,Reacto 500,2017,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,22,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Merida,Ride Disc 500,2017,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,22,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
8271,Merida,Scultura 300,2017,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,20,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Merida,Scultura 7000-E,2017,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,22,Karbon,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Merida,Scultura Disc 400,2017,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,22,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
4725,Merida,Speeder 100,2017,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Merida,Speeder 400,2017,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,22,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Merida,Speeder 5000,2016,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,22,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Merida,Speeder 900,2017,Şehir/Tur Bisikleti,Yetişkin,----,Erkek,22,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Yok,----,----,----,----,----,----,----,----
2349,Mosso,16 Town V,2019,Katlanır Bisiklet,Yetişkin,----,Unisex,1,Alüminyum / Alaşım,10.5 kg,16 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Mosso,20 Marine 21,2019,Katlanır Bisiklet,Yetişkin,----,Unisex,21,Alüminyum / Alaşım,13.2 kg,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Mosso,20 Marine 2D,2017,Katlanır Bisiklet,Yetişkin,----,Unisex,6,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Mosso,20 Marine SR2,2017,Katlanır Bisiklet,Yetişkin,----,Unisex,2,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Mosso,20 Marine V,2017,Katlanır Bisiklet,Yetişkin,----,Unisex,6,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Mosso,20 WildFire V Boys,2017,Dağ Bisikleti,Çocuk,----,Erkek,21,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Mosso,20 WildFire V Girls,2017,Dağ Bisikleti,Çocuk,----,Kadın,21,Alüminyum / Alaşım,----,20 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
2799,Mosso,24 Cavalier Tourney,2020,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,14,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Kron,WSX300 27.5 Man HD,2017,Dağ Bisikleti,Yetişkin,----,Erkek,24,Alüminyum / Alaşım,----,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Mosso,24 WildFire V Girls,2017,Dağ Bisikleti,Çocuk,----,Kadın,21,Alüminyum / Alaşım,----,24 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Mosso,26 Marine 2D,2017,Katlanır Bisiklet,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Yok,----,----,----,----,----,----,----,----
----,Mosso,26 Marine ACR 2D,2019,Katlanır Bisiklet,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,14.2 kg,26 inç,Alüminyum / Alaşım,Mekanik Disk Frenli,Yok,----,----,----,----,----,----,----,----
3425,Mosso,27.5 Blackedition H,2020,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,14.8 kg,27.5 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Mosso,29 Blackedition H,2020,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,15 kg,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Mosso,29 Wildfire LTD HYD,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,15.2 kg,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Mosso,29 WildFire LTD V,2020,Dağ Bisikleti,Yetişkin,----,Erkek,21,Alüminyum / Alaşım,14.8 kg,29 inç,Alüminyum / Alaşım,V Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Mosso,2971 Acera,2017,Dağ Bisikleti,Yetişkin,----,Erkek,27,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Mosso,2971 Deore,2017,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,29 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Yaylı,----,----,----,----,----,----
----,Mosso,680XC SLX,2017,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Mosso,681XC SLX,2018,Dağ Bisikleti,Yetişkin,----,Erkek,30,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
9999,Mosso,681XC XT,2018,Dağ Bisikleti,Yetişkin,----,Erkek,33,Alüminyum / Alaşım,----,26 inç,Alüminyum / Alaşım,Hidrolik Disk Frenli,Var,Sadece Ön,Havalı,----,----,----,----,----,----
----,Mosso,735TCA 105,2017,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,22,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
----,Mosso,735TCA Sora,2017,Yol/Yarış Bisikleti,Yetişkin,----,Erkek,18,Alüminyum / Alaşım,----,28 inç,Alüminyum / Alaşım,V Frenli,Yok,----,----,----,----,----,----,----,----
